model,term,estimate,std.error,conf.low,conf.high
ttest,NA,-4.501538461538462,NA,-4.985405579646861,-4.017671343430062
model1,(Intercept),4.023504273504273,0.18828399058600323,3.6514929675323025,4.395515579476244
model1,condition,-0.15683760683760703,0.26892332860207563,-0.6881760300791246,0.37450081640391053
model2,(Intercept),3.9466230936819136,0.19408916729915643,3.566215315986198,4.327030871377629
model2,sd__(Intercept),1.2305352797921367,NA,NA,NA
model2,sd__Observation,1.1049666599410564,NA,NA,NA
model3,(Intercept),4.023504273504238,0.2713962262268092,3.4915774445596073,4.5554311024488685
model3,condition,-0.1568376068375638,0.387631345075077,-0.9165810824635322,0.6029058687884047
model3,sd__(Intercept),1.22803498668207,NA,NA,NA
model3,sd__Observation,1.104966660151472,NA,NA,NA
