"Study","Method","MSE"
"Study_1_Chen","boot",0.0544549376177233
"Study_1_Chen","independent",2.25209263798282
"Study_1_Chen","parametric",0.124893691157872
"Study_1_Chen","cart",0.237499459829086
"Study_2_Emanuel_1","boot",0.194367090174428
"Study_2_Emanuel_1","independent",21.2296700474259
"Study_2_Emanuel_1","parametric",17.0523530343048
"Study_2_Emanuel_1","cart",4.62098071495892
"Study_3_Emanuel_2","boot",0.241501477678158
"Study_3_Emanuel_2","independent",26.8588939800005
"Study_3_Emanuel_2","parametric",49.7193131713981
"Study_3_Emanuel_2","cart",2.67822810524212
"Study_4_Martin_2024","boot",5.77673839672495
"Study_4_Martin_2024","independent",39.3985569033414
"Study_4_Martin_2024","parametric",5.97883944242692
"Study_4_Martin_2024","cart",3.23118917924165
"Study_5_St_Cyr_2024","boot",0.0139071275433013
"Study_5_St_Cyr_2024","independent",0.285765967298058
"Study_5_St_Cyr_2024","parametric",0.00933193074451796
"Study_5_St_Cyr_2024","cart",0.0197157365465738
"Study_6_Theobald_2022","boot",0.00143979000280434
"Study_6_Theobald_2022","independent",0.0761348986348714
"Study_6_Theobald_2022","parametric",0.0119041628053446
"Study_6_Theobald_2022","cart",0.00919530787833041
